Heat,Part,label,label_id,SN,Fld,Intensity,Davg,Dcirc,Dmax,Dmin,Dperp,Aspect,Area,Perim,Roundness,Elongation,Pixel.Size...m.per.pixel.,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254,g255,image_path,split
3,16370,oxy-sulfide,3,3-16370,140,109,4.554,4.317,4.776,4.246,4.57,1.0,14.64,16.891,0.82,0.96,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,1,1,5,5,5,4,3,5,7,7,4,12,11,7,14,20,21,26,25,20,21,26,29,29,32,29,38,46,33,34,42,28,36,47,57,43,38,38,37,48,43,34,34,39,50,33,35,27,20,16,21,20,27,17,14,14,9,9,6,7,4,11,6,5,8,8,7,6,15,2,2,9,7,6,10,4,4,5,4,12,12,5,4,8,5,6,6,5,7,11,4,5,10,4,1,8,6,9,5,5,8,5,10,6,6,9,4,5,10,10,10,7,19,27,21,27,45,41,45,81,96,112,144,185,204,234,308,337,377,432,476,524,570,606,640,651,673,679,641,644,585,605,591,489,513,422,383,341,305,295,238,166,174,137,93,101,69,64,60,38,29,22,16,8,9,7,4,5,3,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/16370.TIF,train
1,7399,oxy-sulfide,3,1-7399,25,81,4.089,3.861,4.642,3.577,3.675,1.3,11.705,15.013,0.69,0.79,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,13,7,7,12,8,28,21,21,23,26,10,20,24,18,23,28,13,30,15,16,15,28,21,14,24,20,16,11,15,15,15,16,16,12,22,17,15,22,20,29,21,12,17,15,23,24,12,19,16,15,12,12,12,7,5,5,9,8,9,6,3,5,2,6,7,5,3,6,9,7,4,4,7,6,4,4,6,8,5,6,2,7,1,6,6,2,5,3,4,5,4,3,3,4,1,4,5,6,4,4,3,7,2,5,3,3,6,2,4,3,7,3,3,4,4,5,4,3,4,8,6,9,6,3,5,5,8,7,7,6,3,4,8,4,4,10,5,4,11,13,17,15,23,31,38,40,63,90,89,129,148,177,213,266,328,334,436,439,513,534,612,627,622,665,705,704,698,696,595,609,570,565,487,441,367,355,297,272,210,187,164,121,104,87,68,65,33,32,36,17,21,13,6,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/07399.TIF,train
3,12429,sulfide,2,3-12429,103,123,3.116,2.942,3.244,2.904,3.175,1.0,6.799,11.538,0.82,0.98,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,4,5,6,4,10,4,17,13,9,14,20,17,23,28,26,20,25,19,17,24,22,16,23,19,20,18,17,12,11,11,9,6,3,14,14,7,14,6,4,4,6,7,3,6,7,1,7,6,3,5,7,5,4,9,5,2,3,8,6,10,10,4,2,3,5,8,3,8,5,8,10,12,5,8,8,4,9,6,5,10,13,14,18,23,30,37,35,64,88,98,140,132,190,241,273,311,342,443,444,494,557,592,720,673,734,709,710,710,716,634,641,600,555,495,485,404,371,336,293,230,190,166,138,101,95,88,51,36,37,28,13,12,5,7,6,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/12429.TIF,train
3,2453,non-inclusion,0,3-2453,28,139,1.231,1.073,1.337,1.049,1.209,1.1,0.904,4.525,0.64,0.9,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,2,2,0,0,1,0,1,0,1,2,1,1,1,2,0,2,3,2,1,1,0,2,0,1,2,1,0,1,1,0,2,2,0,1,2,1,4,1,1,2,1,0,1,1,2,3,0,0,1,3,4,3,1,0,0,1,4,1,1,3,4,1,0,0,0,2,3,5,2,7,0,2,4,6,5,8,13,15,25,26,40,47,58,90,104,153,171,199,246,279,336,392,464,489,555,613,655,683,715,690,766,769,777,694,737,663,653,586,526,503,401,370,307,264,241,204,158,111,96,90,58,59,45,40,18,19,13,6,10,3,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/02453.TIF,train
1,16306,sulfide,2,1-16306,51,114,4.172,3.878,4.561,3.814,3.954,1.2,11.809,16.366,0.72,0.87,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,2,3,2,7,4,5,12,7,11,4,14,12,15,10,19,30,27,23,41,40,42,37,43,32,37,36,38,38,35,32,29,27,27,38,36,22,25,21,20,19,17,17,11,13,8,6,12,3,9,7,14,9,9,8,9,6,8,10,9,5,11,8,9,12,8,10,9,2,5,6,5,6,4,4,8,5,8,7,6,6,9,9,5,13,10,7,10,9,8,4,7,8,9,6,11,7,10,23,21,11,17,24,24,37,39,69,57,84,101,135,138,182,225,255,309,366,411,435,488,557,588,613,667,621,642,722,679,689,660,613,586,527,471,451,365,329,334,246,240,208,159,118,85,84,65,42,37,45,23,22,15,8,4,5,6,0,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/16306.TIF,train
3,12899,oxy-sulfide,3,3-12899,107,90,2.694,2.547,2.798,2.574,2.613,1.1,5.095,10.095,0.83,0.93,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,1,1,2,6,4,5,1,7,9,1,8,5,3,5,3,1,6,7,7,7,7,12,7,6,12,10,8,12,9,8,22,14,16,14,8,12,7,7,13,8,6,7,11,8,7,6,1,2,3,4,5,8,4,3,3,3,4,3,1,2,1,5,3,1,2,6,2,2,0,1,1,0,3,1,4,6,2,5,4,4,1,0,3,0,0,1,4,1,1,1,2,2,2,2,1,3,1,3,7,0,5,2,5,3,6,1,7,2,1,2,4,1,4,2,2,2,5,3,2,4,4,4,2,4,2,4,2,3,5,5,5,2,2,4,6,5,7,10,12,17,21,33,49,44,86,77,115,153,172,229,224,338,363,389,440,459,572,592,666,730,737,697,740,769,715,664,679,608,563,515,536,421,396,331,295,261,258,159,130,103,107,70,58,50,26,29,13,12,11,7,5,2,3,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/12899.TIF,train
2,1231,oxy-sulfide,3,2-1231,22,117,2.375,2.171,2.732,1.938,1.979,1.4,3.701,9.506,0.63,0.72,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2,3,1,2,3,4,3,3,4,5,7,5,5,6,4,7,3,4,7,7,7,8,1,4,3,6,5,15,6,11,8,2,6,8,8,9,6,6,6,9,7,11,4,4,4,5,3,2,3,8,10,3,3,3,11,2,8,2,1,5,5,7,2,7,5,1,3,2,12,3,4,7,3,3,5,6,3,1,8,4,2,5,3,4,7,10,6,6,6,7,4,4,2,7,12,10,15,15,15,22,38,50,61,78,120,123,179,189,250,275,357,357,478,481,558,603,668,686,674,735,796,761,784,707,715,652,595,640,504,422,389,352,283,261,210,170,141,113,89,65,55,48,26,14,20,10,4,6,5,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_2/imgs/01231.TIF,train
4,2949,non-inclusion,0,4-2949,32,72,7.41,7.098,7.888,6.859,7.038,1.1,39.575,27.85,0.81,0.89,0.092773438,0,6,9,9,15,15,10,8,10,10,13,12,14,20,21,9,16,15,21,19,21,12,14,11,16,18,15,16,16,8,12,13,11,30,15,23,21,17,25,32,24,32,37,33,33,57,53,47,41,39,49,49,55,54,51,54,53,41,49,63,55,44,55,61,65,40,59,56,54,51,53,57,64,56,54,66,68,65,57,77,89,91,75,80,90,91,81,86,72,80,74,63,72,56,49,52,48,39,29,31,26,25,19,9,17,14,11,16,10,10,11,9,13,7,7,15,6,9,7,11,11,10,6,6,9,9,7,5,12,8,11,10,4,11,10,7,3,8,11,9,8,11,5,6,7,8,13,5,6,9,11,3,11,7,9,7,6,5,7,9,9,5,7,10,5,6,15,18,18,4,9,11,10,17,18,18,25,40,51,46,82,97,83,128,151,178,248,238,303,335,375,391,445,450,493,510,554,546,526,558,497,431,499,414,443,389,308,278,241,215,203,169,134,109,95,65,71,43,35,28,26,16,13,13,6,4,8,2,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_4/imgs/02949.TIF,train
1,19036,sulfide,2,1-19036,67,118,3.008,2.801,3.444,2.477,2.577,1.3,6.163,10.959,0.66,0.75,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,2,2,2,4,1,4,3,4,4,8,2,10,6,9,12,6,12,11,9,13,14,13,17,17,18,22,23,15,20,24,18,26,17,14,15,18,14,11,17,7,9,8,6,6,6,1,10,8,9,4,6,5,5,2,5,7,5,4,9,2,6,2,3,6,4,3,6,8,7,5,1,6,2,3,2,5,3,5,6,2,8,3,5,3,2,0,7,5,5,1,4,2,5,5,5,9,9,7,9,11,11,16,19,22,26,45,60,59,89,114,140,152,207,246,286,341,365,403,490,481,591,596,619,679,649,688,711,690,703,640,599,624,554,559,459,382,382,338,271,257,199,171,118,118,86,90,54,52,30,24,23,22,19,7,9,6,2,3,3,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/19036.TIF,train
3,17474,oxy-sulfide,3,3-17474,153,99,4.456,4.274,4.823,4.175,4.375,1.1,14.348,17.284,0.79,0.91,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,4,3,3,7,7,6,4,4,10,5,6,14,13,10,18,7,10,15,6,12,19,11,8,11,9,9,16,10,13,18,10,13,7,12,10,14,13,10,17,21,19,16,25,15,25,19,24,28,30,33,38,43,39,38,31,28,32,32,32,31,31,27,29,27,21,10,21,18,16,13,12,7,15,9,10,17,5,9,3,4,7,6,10,7,6,5,11,7,4,5,10,9,2,15,7,3,6,9,4,8,3,4,6,6,5,4,11,7,5,10,6,8,6,5,13,5,11,13,9,6,7,7,4,12,10,3,10,4,11,12,13,9,15,16,21,15,19,34,39,43,58,72,89,116,153,181,203,244,274,339,403,417,462,521,560,579,592,632,642,655,658,677,686,607,585,546,516,437,434,373,304,279,229,211,162,126,110,83,64,50,33,39,20,21,10,9,7,9,3,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/17474.TIF,train
